Timestamp_s,Raw_Input,Standard_EMA,OneEuro,BVIC_Output,Stiffness_Alpha,Mode_State
13.7503,-34.6500,3.3602,15.5307,6.9360,0.0207,0
13.7726,0.0000,3.1921,12.2701,6.7929,0.0206,0
13.8396,0.0000,3.0325,6.6498,6.6531,0.0206,0
13.8926,-751.5750,-34.6978,-675.0520,-52.8767,0.0785,1
13.9187,-1928.5750,-129.3917,-1828.8994,-297.9564,0.1307,1
13.9439,-2286.6249,-237.2534,-2252.4863,-651.1330,0.1776,1
13.9695,-1556.9125,-303.2363,-1648.0100,-850.2551,0.2198,1
13.9918,0.0000,-288.0745,-323.2230,-680.3303,0.1999,0
14.0594,0.0000,-273.6708,-22.9652,-556.6011,0.1819,0
14.1127,394.7625,-240.2491,363.6010,-343.8003,0.2237,1
14.1455,211.4750,-217.6629,235.8611,-198.7003,0.2613,1
14.1680,-9.0750,-207.2335,77.6872,-153.7249,0.2372,0
14.1890,-178.3375,-205.7887,33.8825,-160.4555,0.2735,1
14.2092,0.0000,-195.4993,27.5177,-120.6439,0.2481,0
14.2763,0.0000,-185.7243,13.6003,-93.4623,0.2253,0
14.3291,205.1500,-166.1806,142.8636,-14.9947,0.2628,1
14.3609,262.6250,-144.7403,222.0633,67.3187,0.2965,1
14.3894,245.5750,-125.2245,236.7563,125.5812,0.3268,1
14.4142,0.0000,-118.9633,164.6155,88.3888,0.2962,0
14.4818,0.0000,-113.0152,39.9181,64.6523,0.2685,0
14.5352,129.5250,-100.8881,83.4029,80.4612,0.2437,0
14.5714,124.1625,-89.6356,91.0433,90.1333,0.2213,0
14.5965,60.2250,-82.1426,83.1497,84.1161,0.2012,0
14.6203,-25.0250,-79.2867,31.2727,64.1355,0.1831,0
14.6467,0.0000,-75.3224,14.9185,53.4400,0.1668,0
14.7154,0.0000,-71.5563,4.4903,45.3124,0.1521,0
14.7688,-16.5000,-68.8034,-8.6249,36.7280,0.1389,0
14.8083,-38.9125,-67.3089,-25.7681,27.1223,0.1270,0
14.8318,-36.7125,-65.7791,-30.4835,19.6989,0.1163,0
